seed,episode,cluster_id,suite,task_id,cold_start,event_type,state_before,state_after,B_k_size,sigma_k,phi_k,tau_k,policy_version,probe_rounds,n,probe_round,probe_success_count,probe_failure_count,passed
1,622,libero_goal_task5,libero_goal,5,False,first_training,I,I,20,17.0,3.0,0.8,1,1,20,1,17,3,False
1,633,libero_goal_task1,libero_goal,1,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,633,libero_goal_task1,libero_goal,1,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,638,libero_object_task6,libero_object,6,False,first_training,I,I,20,14.0,6.0,0.8,1,1,20,1,14,6,False
1,650,libero_object_task7,libero_object,7,False,first_training,I,I,20,18.0,2.0,0.8,1,1,20,1,18,2,False
1,664,libero_object_task5,libero_object,5,False,first_training,I,I,20,17.0,3.0,0.8,1,1,20,1,17,3,False
1,685,libero_goal_task3,libero_goal,3,False,first_training,I,I,20,16.0,4.0,0.8,1,1,20,1,16,4,False
1,701,libero_object_task3,libero_object,3,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,701,libero_object_task3,libero_object,3,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,715,libero_goal_task0,libero_goal,0,False,first_training,I,I,20,4.0,16.0,0.8,1,1,20,1,4,16,False
1,766,libero_goal_task2,libero_goal,2,False,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,766,libero_goal_task2,libero_goal,2,False,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,772,libero_10_task0,libero_10,0,False,first_training,I,I,20,9.0,11.0,0.8,1,1,20,1,9,11,False
1,874,libero_goal_task8,libero_goal,8,False,first_training,I,I,20,18.0,2.0,0.8,1,1,20,1,18,2,False
1,1200,libero_spatial_task4,libero_spatial,4,True,first_training,I,I,20,15.0,5.0,0.8,1,1,20,1,15,5,False
1,1318,libero_spatial_task9,libero_spatial,9,True,first_training,I,I,20,15.0,5.0,0.8,1,1,20,1,15,5,False
1,1529,libero_spatial_task7,libero_spatial,7,True,first_training,I,I,20,16.0,4.0,0.8,1,1,20,1,16,4,False
1,1530,libero_spatial_task3,libero_spatial,3,True,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
1,1530,libero_spatial_task3,libero_spatial,3,True,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
1,1604,libero_spatial_task2,libero_spatial,2,True,first_training,I,M,20,19.0,1.0,0.8,1,1,20,1,19,1,True
1,1604,libero_spatial_task2,libero_spatial,2,True,first_maturity,I,M,20,19.0,1.0,0.8,1,1,,,,,
1,1838,libero_spatial_task8,libero_spatial,8,True,first_training,I,I,20,15.0,5.0,0.8,1,1,20,1,15,5,False
1,1902,libero_object_task1,libero_object,1,False,demotion,M,I,20,66.0,8.0,0.848,1,1,,,,,
1,2204,libero_object_task9,libero_object,9,False,retraining,I,M,80,23.5,1.5,0.8,2,2,80,2,20,0,True
1,2204,libero_object_task9,libero_object,9,False,first_maturity,I,M,80,23.5,1.5,0.8,2,2,,,,,
1,2214,libero_object_task0,libero_object,0,False,retraining,I,M,80,23.0,2.0,0.8,2,2,80,2,19,1,True
1,2214,libero_object_task0,libero_object,0,False,first_maturity,I,M,80,23.0,2.0,0.8,2,2,,,,,
1,2218,libero_spatial_task6,libero_spatial,6,True,first_training,I,M,20,19.0,1.0,0.8,1,1,20,1,19,1,True
1,2218,libero_spatial_task6,libero_spatial,6,True,first_maturity,I,M,20,19.0,1.0,0.8,1,1,,,,,
1,2227,libero_10_task2,libero_10,2,False,retraining,I,X,80,22.75,2.25,0.8,2,2,80,2,19,1,False
1,2227,libero_10_task2,libero_10,2,False,transition_X,I,X,80,22.75,2.25,0.8,2,2,,,,,
1,2243,libero_object_task6,libero_object,6,False,retraining,I,X,80,22.5,2.5,0.8,2,2,80,2,19,1,False
1,2243,libero_object_task6,libero_object,6,False,transition_X,I,X,80,22.5,2.5,0.8,2,2,,,,,
1,2244,libero_goal_task0,libero_goal,0,False,retraining,I,X,80,18.0,7.0,0.8,2,2,80,2,17,3,False
1,2244,libero_goal_task0,libero_goal,0,False,transition_X,I,X,80,18.0,7.0,0.8,2,2,,,,,
1,2268,libero_goal_task6,libero_goal,6,False,retraining,I,X,80,21.75,3.25,0.8,2,2,80,2,18,2,False
1,2268,libero_goal_task6,libero_goal,6,False,transition_X,I,X,80,21.75,3.25,0.8,2,2,,,,,
1,2319,libero_object_task5,libero_object,5,False,retraining,I,M,80,24.25,0.75,0.8,2,2,80,2,20,0,True
1,2319,libero_object_task5,libero_object,5,False,first_maturity,I,M,80,24.25,0.75,0.8,2,2,,,,,
1,2330,libero_spatial_task3,libero_spatial,3,True,demotion,M,I,20,29.0,3.0,0.82,1,1,,,,,
1,2334,libero_goal_task5,libero_goal,5,False,retraining,I,X,80,22.25,2.75,0.8,2,2,80,2,18,2,False
1,2334,libero_goal_task5,libero_goal,5,False,transition_X,I,X,80,22.25,2.75,0.8,2,2,,,,,
1,2364,libero_object_task7,libero_object,7,False,retraining,I,M,80,23.5,1.5,0.8,2,2,80,2,19,1,True
1,2364,libero_object_task7,libero_object,7,False,first_maturity,I,M,80,23.5,1.5,0.8,2,2,,,,,
1,2373,libero_object_task8,libero_object,8,False,retraining,I,X,80,21.25,3.75,0.8,2,2,80,2,17,3,False
1,2373,libero_object_task8,libero_object,8,False,transition_X,I,X,80,21.25,3.75,0.8,2,2,,,,,
1,2411,libero_goal_task8,libero_goal,8,False,retraining,I,M,80,23.5,1.5,0.8,2,2,80,2,19,1,True
1,2411,libero_goal_task8,libero_goal,8,False,first_maturity,I,M,80,23.5,1.5,0.8,2,2,,,,,
1,2415,libero_spatial_task0,libero_spatial,0,False,retraining,I,X,80,22.5,2.5,0.8,2,2,80,2,18,2,False
1,2415,libero_spatial_task0,libero_spatial,0,False,transition_X,I,X,80,22.5,2.5,0.8,2,2,,,,,
1,2480,libero_10_task0,libero_10,0,False,retraining,I,X,80,17.25,7.75,0.8,2,2,80,2,15,5,False
1,2480,libero_10_task0,libero_10,0,False,transition_X,I,X,80,17.25,7.75,0.8,2,2,,,,,
1,2579,libero_goal_task3,libero_goal,3,False,retraining,I,X,80,22.0,3.0,0.8,2,2,80,2,18,2,False
1,2579,libero_goal_task3,libero_goal,3,False,transition_X,I,X,80,22.0,3.0,0.8,2,2,,,,,
1,3251,libero_spatial_task5,libero_spatial,5,True,first_training,I,I,20,11.0,9.0,0.8,1,1,20,1,11,9,False
1,3843,libero_object_task1,libero_object,1,False,retraining,I,M,80,36.5,2.0,0.848,2,2,80,2,20,0,True
1,3843,libero_object_task1,libero_object,1,False,rematuration,I,M,80,36.5,2.0,0.848,2,2,,,,,
2,0,libero_goal_task4,libero_goal,4,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
2,1,libero_goal_task7,libero_goal,7,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
2,2,libero_goal_task0,libero_goal,0,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
2,3,libero_object_task5,libero_object,5,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
2,4,libero_object_task3,libero_object,3,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
2,5,libero_object_task8,libero_object,8,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
2,6,libero_goal_task5,libero_goal,5,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
2,7,libero_object_task1,libero_object,1,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
